"pointName","timestamp","longitude","latitude"
"Route1","1608156256","9.169443","48.77342"
"Route1","1608156286","9.169367","48.77347"
"Route1","1608156316","9.169316","48.77353"
"Route1","1608156346","9.169407","48.773575"
"Route1","1608156376","9.169614","48.77364"
"Route1","1608156406","9.169922","48.773712"
"Route1","1608156436","9.170024","48.773754"
"Route1","1608156466","9.170079","48.773766"
"Route1","1608156496","9.170129","48.773796"
"Route1","1608156526","9.170201","48.77378"
"Route1","1608156556","9.170268","48.773754"
"Route1","1608156586","9.170327","48.77375"
"Route1","1608156616","9.170359","48.77375"
"Route1","1608156646","9.170392","48.773785"
"Route1","1608156676","9.170433","48.77384"
"Route1","1608156706","9.170496","48.77391"
"Route1","1608156736","9.1705885","48.77398"
"Route1","1608156766","9.170683","48.774025"
"Route1","1608156796","9.170827","48.774044"
"Route1","1608156826","9.170971","48.77406"
"Route1","1608156856","9.171196","48.7741"
"Route1","1608156886","9.171524","48.774128"
"Route1","1608156916","9.171858","48.774178"
"Route1","1608156946","9.17207","48.77421"
"Route1","1608156976","9.172358","48.77429"
"Route1","1608157006","9.172511","48.774372"
"Route1","1608157036","9.172474","48.77441"
"Route1","1608157066","9.172462","48.77448"
"Route1","1608157096","9.172558","48.77457"
"Route1","1608157126","9.172637","48.774647"
"Route1","1608157156","9.172748","48.77469"
"Route1","1608157186","9.172812","48.774746"
"Route1","1608157216","9.172925","48.774788"
"Route1","1608157246","9.173044","48.774788"
"Route1","1608157276","9.173253","48.774773"
"Route1","1608157306","9.173426","48.77475"
"Route1","1608157336","9.173646","48.774734"
"Route1","1608157366","9.173886","48.7747"
"Route1","1608157396","9.174069","48.774677"
"Route1","1608157426","9.174259","48.77463"
"Route1","1608157456","9.174433","48.77459"
"Route1","1608157486","9.174603","48.77454"
"Route1","1608157516","9.174653","48.774487"
"Route1","1608157546","9.174628","48.7744"
"Route1","1608157576","9.174579","48.774345"
"Route1","1608157606","9.174545","48.77428"
"Route1","1608157636","9.174602","48.774246"
"Route1","1608157666","9.174715","48.774197"
"Route1","1608157696","9.1748295","48.774166"
"Route1","1608157726","9.175027","48.77415"
"Route1","1608157756","9.175271","48.774036"
"Route1","1608157786","9.175497","48.77396"
"Route1","1608157816","9.175629","48.77391"
"Route1","1608157846","9.175821","48.773872"
"Route1","1608157876","9.175993","48.773834"
"Route1","1608157906","9.176183","48.77377"
"Route1","1608157936","9.176328","48.77368"
"Route1","1608157966","9.176441","48.77364"
"Route1","1608157996","9.176518","48.77356"
"Route1","1608158026","9.17653","48.773487"
"Route1","1608158056","9.176511","48.77344"
"Route1","1608158086","9.176453","48.773197"
"Route1","1608158116","9.176478","48.77315"
"Route1","1608158146","9.176519","48.77309"
"Route1","1608158176","9.176595","48.77307"
"Route1","1608158206","9.176725","48.77307"
"Route1","1608158236","9.176793","48.77302"
"Route1","1608158266","9.176838","48.77299"
"Route1","1608158296","9.176973","48.77287"
"Route1","1608158326","9.177101","48.772808"
"Route1","1608158356","9.177219","48.772766"
"Route1","1608158386","9.1772785","48.772816"
"Route1","1608158416","9.177299","48.772488"
"Route1","1608158446","9.177725","48.772175"
"Route1","1608158476","9.177797","48.771976"
"Route1","1608158506","9.176907","48.77114"
"Route2","1608157306","9.178766","48.778896"
"Route2","1608157336","9.17838","48.77831"
"Route2","1608157366","9.177938","48.77791"
"Route2","1608157396","9.177519","48.7775"
"Route2","1608157426","9.176755","48.776676"
